timestamp,chunk_index,chunk_capacity,fill_time_s,avg_fill_ratio,mem_pressure
1761004203250,0,200,0.0011828,169091,0.292456
1761004203258,1,5000,0.0077899,405474,0.292456
1761004203265,2,5000,0.00623353,537687,0.292456
1761004203272,3,5000,0.00655454,593973,0.292456
1761004203280,4,5000,0.00770311,604996,0.292456
1761004203288,5,5000,0.00789012,609781,0.292456
1761004203293,6,5000,0.00563636,649397,0.292456
1761004203299,7,5000,0.0059341,673546,0.292456
1761004203307,8,5000,0.00774332,733124,0.292456
1761004203315,9,5000,0.00743734,736928,0.292456
1761004203322,10,5000,0.00686173,727748,0.292456
1761004203328,11,5000,0.00588599,738579,0.292456
1761004203336,12,5000,0.00798318,735733,0.292049
1761004203343,13,5000,0.00617664,757707,0.290255
1761004203350,14,5000,0.00713509,734415,0.290255
1761004203357,15,5000,0.0071936,715975,0.290286
1761004203363,16,5000,0.00579077,743190,0.290286
1761004203371,17,5000,0.00746242,742908,0.290286
1761004203378,18,5000,0.00674746,744451,0.290286
1761004203384,19,5000,0.00594522,743393,0.290286
1761004203390,20,5000,0.00587852,771422,0.290286
1761004203396,21,5000,0.00563812,781087,0.290286
1761004203401,22,5000,0.00526847,812122,0.290286
1761004203407,23,5000,0.00559111,837024,0.290286
1761004203412,24,5000,0.00510825,851445,0.290286
1761004203418,25,5000,0.00549014,881532,0.290286
1761004203424,26,5000,0.00610773,891234,0.290286
1761004203431,27,5000,0.00695871,875923,0.290286
1761004203436,28,5000,0.00448845,908850,0.290286
1761004203441,29,5000,0.00554814,910648,0.290286
1761004203446,30,5000,0.00489052,919816,0.290286
1761004203452,31,5000,0.00558526,919933,0.290286
1761004203457,32,5000,0.00488779,925452,0.290286
1761004203463,33,5000,0.00615098,913221,0.290286
1761004203472,34,5000,0.0086971,882755,0.290286
1761004203481,35,5000,0.00816361,869498,0.290286
1761004203489,36,5000,0.00773975,811004,0.290286
1761004203495,37,5000,0.00579039,806291,0.290283
1761004203503,38,5000,0.00791168,757490,0.290313
1761004203508,39,5000,0.00506971,768870,0.290313
1761004203515,40,5000,0.00614308,742740,0.290313
1761004203522,41,5000,0.00686262,732204,0.290305
1761004203530,42,5000,0.0078682,739774,0.290305
1761004203537,43,5000,0.0072933,748910,0.290305
1761004203546,44,5000,0.00878225,739325,0.290305
1761004203554,45,5000,0.00753739,714307,0.290263
1761004203562,46,5000,0.00784477,714981,0.290263
1761004203569,47,5000,0.00727858,677568,0.290263
1761004203576,48,5000,0.00696702,665536,0.290263
1761004203583,49,5000,0.00687703,665345,0.290263
1761004203590,50,5000,0.00717997,672959,0.290263
1761004203598,51,5000,0.0075926,669581,0.290263
1761004203607,52,5000,0.00818167,674805,0.290263
1761004203613,53,5000,0.00658242,686835,0.290263
1761004203620,54,5000,0.00696142,696944,0.290263
1761004203628,55,5000,0.00695603,700926,0.290263
1761004203635,56,5000,0.00732741,696514,0.290263
